X,Y,Incident_Id,Primary_Charge,Street,City,State,Zipcode,Date_of_Arrest,Age,Race,Gender,Ethnicity,Type_of_Arrest,Drugs_or_Alcohol_Present,Weapon_Present,Disposition,latitude,longitude,ObjectId
-79.03361464,35.93038175,39649,IMPAIRED DRIVING DWI,1508 E FRANKLIN ST,CHAPEL HILL,NC,27514,2018/12/31 23:49:00+00,32,B,F,N,ON VIEW,Y,,CLEARED BY ARREST,35.93038175,-79.03361464,12382
-79.05858753,35.9464905,39642,FAIL TO APPEAR,1250 MARTIN LUTHER KING JR BLVD ,CHAPEL HILL,NC,27514,2018/12/31 21:12:00+00,27,W,M,N,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED,CLEARED BY ARREST,35.9464905,-79.05858753,4182
-79.05142951,35.92287555,39654,POSS STOLEN GOODS,530 HILLSBOROUGH ST ,CHAPEL HILL,NC,27514,2018/12/31 20:30:00+00,24,B,M,N,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED,CLEARED BY ARREST,35.92287555,-79.05142951,11971
-79.05142951,35.92287555,39652,DRIVING WHILE IMPAIRED,530 HILLSBOROUGH ST ,CHAPEL HILL,NC,27514,2018/12/31 20:30:00+00,26,B,M,N,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.92287555,-79.05142951,11972
-79.03265348,35.90136412,39650,IMPAIRED DRIVING DWI,198 OLD MASON FARM RD ,CHAPEL HILL,NC,27517,2018/12/31 18:17:00+00,52,W,M,H,ON VIEW,Y,,CLEARED BY ARREST,35.90136412,-79.03265348,12146
-79.06115555,35.91080618,39640,1ST DEGREE TRESPASS,409 W FRANKLIN ST,CHAPEL HILL,NC,27516,2018/12/30 14:03:00+00,64,B,M,N,SUMMONED/CITED,N,UNARMED,CLEARED BY ARREST,35.91080618,-79.06115555,2425
-79.04576441,35.91955953,39637,FAIL TO APPEAR/COMPL,615 NORTH ST ,CHAPEL HILL,NC,27514,2018/12/30 02:12:00+00,19,B,M,N,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.91955953,-79.04576441,11790
-79.04096711,35.91838142,39639,IMPAIRED DRIVING DWI,741 E FRANKLIN ST ,CHAPEL HILL,NC,27514,2018/12/30 01:50:00+00,22,B,F,,ON VIEW,Y,,CLEARED BY ARREST,35.91838142,-79.04096711,11699
-79.05571107,35.91396706,39636,IMPAIRED DRIVING DWI,100 E ROSEMARY ST ,CHAPEL HILL,NC,27514,2018/12/30 00:06:00+00,27,W,F,N,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.91396706,-79.05571107,6287
-79.05412735,35.91460427,39638,POSSESSION MARIJUANA,150 E ROSEMARY ST,CHAPEL HILL,NC,27514,2018/12/29 23:40:00+00,21,B,M,N,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.91460427,-79.05412735,9734
-79.05398772,35.9231338,39634,LARCENY -  ALL OTHER,6 BOLIN HEIGHTS TER,CHAPEL HILL,NC,27514,2018/12/29 09:19:00+00,19,B,M,N,SUMMONED/CITED,Y,UNARMED,CLEARED BY ARREST,35.9231338,-79.05398772,9521
-79.05398772,35.9231338,39635,LARCENY -  ALL OTHER,6 BOLIN HEIGHTS TER,CHAPEL HILL,NC,27514,2018/12/29 09:19:00+00,19,B,M,N,SUMMONED/CITED,Y,UNARMED,CLEARED BY ARREST,35.9231338,-79.05398772,9611
-79.05571107,35.91396706,39655,POSSESSION MARIJUANA,100 E ROSEMARY ST,CHAPEL HILL,NC,27514,2018/12/29 04:50:00+00,20,B,M,H,SUMMONED/CITED,Y,UNARMED,CLEARED BY ARREST,35.91396706,-79.05571107,6274
-79.04944268,35.91666981,39633,FAIL TO APPEAR/COMPL,EAST ROSEMARY ST,CHAPEL HILL,NC,27514,2018/12/29 04:32:00+00,20,W,F,H,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED,CLEARED BY ARREST,35.91666981,-79.04944268,16993
-79.03436609,35.9292347,39641,IMPAIRED DRIVING DWI,1415 E FRANKLIN ST ,CHAPEL HILL,NC,27514,2018/12/29 01:46:00+00,30,W,M,,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.9292347,-79.03436609,12834
-79.05486021,35.91375654,39631,IMPAIRED DRIVING DWI,127 E FRANKLIN ST,CHAPEL HILL,NC,27514,2018/12/27 22:05:00+00,19,W,M,H,ON VIEW,Y,UNARMED,CLEARED BY ARREST,35.91375654,-79.05486021,8120
-79.05293094,35.92690107,39632,AFFRAY/ASSAULT & BATTERY,828 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27514,2018/12/27 19:09:00+00,24,W,F,,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED,CLEARED BY ARREST,35.92690107,-79.05293094,11170
-79.05412735,35.91460427,39630,OPEN CONTAINER,150 E ROSEMARY ST,CHAPEL HILL,NC,27514,2018/12/27 16:40:00+00,35,W,M,N,SUMMONED/CITED,Y,UNARMED,CLEARED BY ARREST,35.91460427,-79.05412735,9729
